tipoPessoa,codigo,nome,matrizFilial,contato,telefone,email,situacao,optanteSimples,endereco,contratos,titulos
Jurídica,51.952.761/0001-84,51.952.761 KLINEY DA SILVA PE...,Matriz,,,,Ativo,,,,
Jurídica,29.020.062/0001-47,AAE METALPARTES PRODUTOS E SE...,Matriz,,,,Ativo,,,,
Jurídica,33.831.762/0001-99,ABC IMPORTS LTDA,Matriz,,,,Ativo,,,,
Jurídica,01.891.745/0001-50,ADRIK MATERIAIS E CONSTRUCOES...,Matriz,,,,Ativo,,,,
Jurídica,34.455.724/0001-41,AREMAR MIX COMERCIO E MANUTEN...,Matriz,,,,Ativo,,,,
Jurídica,07.130.945/0001-77,ATLAS INSPECOES E TESTES DE...,Matriz,,,,Ativo,,,,
Jurídica,53.293.140/0001-61,BCA DEFESA E SEGURANCA LTDA,Matriz,,,,Ativo,,,,
Jurídica,29.014.532/0001-60,BELLA ENGENHARIA LTDA,Matriz,,,,Ativo,,,,
Jurídica,52.919.905/0001-63,BEST HYDRO COMERCIAL LTDA,Matriz,,,,Ativo,,,,
Jurídica,39.526.141/0001-88,BLOWERTEC SOLUCOES INDUSTRIAI...,Matriz,,,,Ativo,,,,
Jurídica,17.891.025/0001-25,BRASLIC COMERCIO DE PRODUTOS...,Matriz,,,,Ativo,,,,
Jurídica,28.484.808/0001-00,BURTONTEC ENERGIA E CONSTRUCO...,Matriz,,,,Ativo,,,,
Jurídica,02.644.369/0001-62,CARLOS VENDAS - SERVIÇOS DE E...,Matriz,,,,Ativo,,,,
Jurídica,03.502.099/0001-18,CHUBB SEGUROS BRASIL S.A.,Matriz,,,,Ativo,,,,
Jurídica,11.757.229/0001-91,COMERCIAL AZ REPRESENTACOES E...,Matriz,,,,Ativo,,,,
Jurídica,07.015.016/0017-84,CONCRELAGOS CONCRETO S/A,Filial,,,,Ativo,,,,
Jurídica,07.739.839/0001-95,CONSTRUFORT ENGENHARIA LTDA,Matriz,,,,Ativo,,,,
Jurídica,04.171.974/0001-99,CROWN SERVICOS DE ELEVADORES...,Matriz,,,,Ativo,,,,
Jurídica,73.826.752/0001-80,CYLTEST ENGENHARIA DE CILINDR...,Matriz,,,,Ativo,,,,
Jurídica,07.969.008/0001-00,DAFLON SERVICOS NAVAIS LTDA,Matriz,,,,Ativo,,,,
Jurídica,03.096.257/0001-87,DATAPOOL TECNOLOGIA LTDA,Matriz,,,,Ativo,,,,
Jurídica,03.222.543/0001-41,DGS INDUSTRIAL LTDA,Matriz,,,,Ativo,,,,
Jurídica,27.114.442/0001-15,DRAKE PM SISTEMAS DE CONTROLE...,Matriz,,,,Ativo,,,,
Jurídica,33.220.880/0001-60,EBSE ENGENHARIA DE SOLUCOES S...,Matriz,,,,Ativo,,,,
Jurídica,29.225.984/0001-90,ELECOMTEC ELETRICA E COMBUSTA...,Matriz,,,,Ativo,,,,
Jurídica,19.696.840/0001-69,ELETRICANAVAL SERVICOS TECNIC...,Matriz,,,,Ativo,,,,
Jurídica,00.072.481/0001-40,ELETROMECANICA ESTACIO LTDA,Matriz,,,,Ativo,,,,
Jurídica,34.028.316/0002-94,EMPRESA BRASILEIRA DE CORREIO...,Filial,,,,Ativo,,,,
Jurídica,27.816.487/0001-31,EMPRESA GERENCIAL DE PROJETOS...,Matriz,,,,Ativo,,,,
Jurídica,39.542.220/0001-82,ENGEPOM EQUIPAMENTOS PARA REF...,Matriz,,,,Ativo,,,,
Jurídica,47.865.670/0006-49,EQUIPA MAQUINAS E UTENSILIOS...,Filial,,,,Ativo,,,,
Jurídica,16.756.723/0001-55,FUJI METALOCK BRASIL LTDA,Matriz,,,,Ativo,,,,
Jurídica,33.798.026/0001-86,FUNDACAO DE ESTUDOS DO MAR,Matriz,,,,Ativo,,,,
Jurídica,18.025.536/0001-27,FUNDACAO DE PESQUISA E ASSESS...,Matriz,,,,Ativo,,,,
Jurídica,11.969.072/0001-68,GHENOVA BRASIL PROJETOS LTDA.,Matriz,,,,Ativo,,,,
Jurídica,07.385.089/0001-09,GP EMISSAO INSTANTANEA E GEST...,Matriz,,,,Ativo,,,,
Jurídica,06.113.673/0001-34,HIDROSHIP SERVICOS LTDA,Matriz,,,,Ativo,,,,
Jurídica,18.602.017/0001-84,HL DO BRASIL LTDA,Matriz,,,,Ativo,,,,
Jurídica,91.233.635/0001-94,INTERPUMP HYDRAULICS BRASIL -...,Matriz,,,,Ativo,,,,
Jurídica,33.796.256/0001-06,ITA BOND-X INDUSTRIA COMERCIO...,Matriz,,,,Ativo,,,,
Jurídica,10.827.182/0001-22,ITAGUAI CONSTRUCOES NAVAIS S/...,Matriz,,,,Ativo,,,,
Jurídica,20.058.175/0001-67,J MARTINS COMERCIO DE SUPRIME...,Matriz,,,,Ativo,,,,
Jurídica,03.992.117/0001-97,"JH2P-ENGENHARIA, CONSTRUCAO E...",Matriz,,,,Ativo,,,,
Jurídica,01.092.686/0023-66,JOHNSON CONTROLS BE DO BRASIL...,Filial,,,,Ativo,,,,
Jurídica,10.315.286/0001-58,KADOSHI SERVICOS TECNICOS NAV...,Matriz,,,,Ativo,,,,
Jurídica,09.423.108/0001-61,KIOTO AMBIENTAL S.A,Matriz,,,,Ativo,,,,
Jurídica,08.659.240/0001-04,LAUSHER COMERCIO E SERVICOS L...,Matriz,,,,Ativo,,,,
Jurídica,08.194.579/0001-82,LEANDRO LUIZ LEAL SILVA,Matriz,,,,Ativo,,,,
Jurídica,34.352.542/0001-45,LEUSADO DERIVADOS DE PETROLEO...,Matriz,,,,Ativo,,,,
